ISO,Year,AIR
BFA,2025,0.0
BFA,2026,0.0
BFA,2027,0.0
BFA,2028,0.0
BFA,2029,0.0
BFA,2030,0.0
BFA,2031,0.0
BFA,2032,0.0
BFA,2033,0.0
BFA,2034,0.0
BFA,2035,0.0
BFA,2036,0.0
BFA,2037,0.0
BFA,2038,0.0
BFA,2039,0.0
BFA,2040,0.0
BFA,2041,0.0
BFA,2042,0.0
BFA,2043,0.0
BFA,2044,0.0
BFA,2045,0.0
BFA,2046,0.0
BFA,2047,0.0
BFA,2048,0.0
BFA,2049,0.0
BFA,2050,0.0
BGD,1990,4787.0
BGD,1991,4787.0
BGD,1992,4787.0
BGD,1993,4787.0
BGD,1994,4787.0
BGD,1995,4787.0
BGD,1996,4787.0
BGD,1997,4787.0
BGD,1998,4787.0
BGD,1999,4787.0
BGD,2000,4787.0
BGD,2001,4787.0
BGD,2002,4787.0
BGD,2003,4787.0
BGD,2004,4787.0
BGD,2005,4760.0
BGD,2006,4883.0
BGD,2007,4883.0
BGD,2008,4883.0
BGD,2009,4883.0
BGD,2010,4883.0
BGD,2011,4883.0
BGD,2012,4883.0
BGD,2013,5373.0
BGD,2014,5402.0
BGD,2015,5448.0
BGD,2016,5490.0
